Id,$$DeveloperName$NamespacePrefix$SobjectType
01226000001eEBwAAM,Configuration_Attribute;SBQQ;SBQQ__ConfigurationAttribute__c
01226000001eEBxAAM,Global_Attribute;SBQQ;SBQQ__ConfigurationAttribute__c
