Name,blng__Active__c,blng__FlatAmount__c,blng__Percentage__c,blng__ProcessingOrder__c,blng__RevenueAgreementAssociation__c,blng__RevenueDistributionMethod__c,blng__RevenueFinanceBook__c,blng__RevenueGLRule__c,blng__RevenueLegalEntity__c,blng__RevenueRecognitionRule__c,blng__RevenueScheduleAmount__c,blng__RevenueScheduleCreationAction__c,blng__Type__c,Errors,Id
Order Based - 100% Full - UK,true,,100,1,Not Applicable,a2C2500000TeiYjEAJ,a1g25000000tHssAAE,a1j25000001JFIeAAO,a1s25000002CBhYAAW,a2D25000001COgdEAG,Transaction Amount,Order Activation,Percentage,,a2E250000026bGMEAY
Order Based - 100% Rateable (Monthly) - UK,true,,100,1,Not Applicable,a2C2500000TeiYkEAJ,a1g25000000tHssAAE,a1j25000001JFIeAAO,a1s25000002CBhYAAW,a2D25000001COgeEAG,Transaction Amount,Order Activation,Percentage,,a2E250000026bGNEAY
