blng__Active__c,blng__Notes__c,Name,Errors,Id
true,,Standard Billing GL Rule,,a1j25000001JFIdAAO
true,,Standard Revenue GL Rule,,a1j25000001JFIeAAO
true,,Standard Tax GL Rule,,a1j25000001JFIfAAO
