Id,Name,blng__Active__c,blng__FlatAmount__c,blng__Percentage__c,blng__ProcessingOrder__c,blng__RevenueAgreementAssociation__c,blng__RevenueDistributionMethod__c,blng__RevenueFinanceBook__c,blng__RevenueGLRule__c,blng__RevenueLegalEntity__c,blng__RevenueRecognitionRule__c,blng__RevenueScheduleAmount__c,blng__RevenueScheduleCreationAction__c,blng__Type__c,blng__RevenueDistributionMethod__r.Name,blng__RevenueFinanceBook__r.Name,blng__RevenueGLRule__r.Name,blng__RevenueLegalEntity__r.Name,blng__RevenueRecognitionRule__r.Name,blng__RevenueDistributionMethod__r.Id,blng__RevenueFinanceBook__r.Id,blng__RevenueGLRule__r.Id,blng__RevenueLegalEntity__r.Id,blng__RevenueRecognitionRule__r.Id
a2E260000016w6AEAQ,Order Based - 100% Full - UK,true,,100,1,Not Applicable,a2C26000005h0quEAA,a1g26000003I6jgAAC,a1j26000001I9wDAAS,a1s260000015kJxAAI,a2D260000017dhdEAA,Transaction Amount,Order Activation,Percentage,From Order - Full Recognition,UK - Revenue,Standard Revenue GL Rule,UK,Order Based - 100% Full,a2C26000005h0quEAA,a1g26000003I6jgAAC,a1j26000001I9wDAAS,a1s260000015kJxAAI,a2D260000017dhdEAA
a2E260000016w6FEAQ,Order Based - 100% Rateable (Monthly) - UK,true,,100,1,Not Applicable,a2C26000005h0qzEAA,a1g26000003I6jgAAC,a1j26000001I9wDAAS,a1s260000015kJxAAI,a2D260000017dhiEAA,Transaction Amount,Order Activation,Percentage,From Order - Monthly Basis,UK - Revenue,Standard Revenue GL Rule,UK,Order Based - 100% Rateable (Monthly),a2C26000005h0qzEAA,a1g26000003I6jgAAC,a1j26000001I9wDAAS,a1s260000015kJxAAI,a2D260000017dhiEAA
