Id,Name,blng__Active__c,blng__BillingFinanceBook__c,blng__BillingGLRule__c,blng__BillingLegalEntity__c,blng__BillingRule__c,blng__CancellationInvoicePlan__c,blng__CancellationRule__c,blng__InvoicePlan__c,blng__BillingFinanceBook__r.Name,blng__BillingGLRule__r.Name,blng__BillingLegalEntity__r.Name,blng__BillingRule__r.Name,blng__CancellationInvoicePlan__r.Name,blng__InvoicePlan__r.Name,blng__BillingFinanceBook__r.Id,blng__BillingGLRule__r.Id,blng__BillingLegalEntity__r.Id,blng__BillingRule__r.Id
a1W26000000XwRHEA0,Usage - UK,true,a1g26000003I6jbAAC,a1j26000001I9w8AAC,a1s260000015kJxAAI,a1T2600000AaKaXEAV,,LIFO by Order Product Creation Date,,UK - Accounting,Standard Billing GL Rule,UK,Usage,,,a1g26000003I6jbAAC,a1j26000001I9w8AAC,a1s260000015kJxAAI,a1T2600000AaKaXEAV
a1W26000000XwRMEA0,Subscription - UK,true,a1g26000003I6jbAAC,a1j26000001I9w8AAC,a1s260000015kJxAAI,a1T2600000AaKacEAF,,LIFO by Order Product Creation Date,,UK - Accounting,Standard Billing GL Rule,UK,Subscription,,,a1g26000003I6jbAAC,a1j26000001I9w8AAC,a1s260000015kJxAAI,a1T2600000AaKacEAF
